status,duration_sec,is_complete,source_file,respondent_id,region,researcher_id,start_time,end_time,start_date,start_hour
Completed successfully,2746.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,707.0,,juvylyn dacara,2025-06-15 09:10:00,2025-06-15 09:55:46,2025-06-15,9.0
Completed successfully,2355.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,708.0,,Lutchyl Tulabing,2025-06-16 02:17:00,2025-06-16 02:56:15,2025-06-16,2.0
Completed successfully,2547.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,709.0,,0,2025-06-15 07:04:00,2025-06-15 07:46:27,2025-06-15,7.0
Completed successfully,2044.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,710.0,,GERALDINE R CANDIA,2025-06-15 08:14:00,2025-06-15 08:48:04,2025-06-15,8.0
Completed successfully,1753.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,711.0,,GERALDINE R CANDIA,2025-06-16 04:08:00,2025-06-16 04:37:13,2025-06-16,4.0
Completed successfully,2177.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,712.0,,GERALDINE R CANDIA,2025-06-16 05:21:00,2025-06-16 05:57:17,2025-06-16,5.0
Completed successfully,2290.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,713.0,,,2025-06-16 07:49:00,2025-06-16 08:27:10,2025-06-16,7.0
Completed successfully,1338.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,714.0,,GERALDINE R CANDIA,2025-06-16 10:58:00,2025-06-16 11:20:18,2025-06-16,10.0
Completed successfully,2696.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,715.0,,0,2025-06-15 02:40:00,2025-06-15 03:24:56,2025-06-15,2.0
Completed successfully,1740.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,717.0,,0,2025-06-15 05:00:00,2025-06-15 05:29:00,2025-06-15,5.0
Completed successfully,2209.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,719.0,,juvylyn dacara,2025-06-15 06:24:00,2025-06-15 07:00:49,2025-06-15,6.0
Completed successfully,2227.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,720.0,,0,2025-06-15 07:46:00,2025-06-15 08:23:07,2025-06-15,7.0
Completed successfully,1733.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,721.0,,Aleli Alarde,2025-06-16 09:45:00,2025-06-16 10:13:53,2025-06-16,9.0
Completed successfully,2392.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,722.0,,Lutchyl Tulabing,2025-06-15 08:40:00,2025-06-15 09:19:52,2025-06-15,8.0
Completed successfully,1088.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,724.0,,ALBERT AVENDANO,2025-06-13 01:34:00,2025-06-13 01:52:08,2025-06-13,1.0
Completed successfully,1495.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,725.0,,,2025-06-13 02:08:00,2025-06-13 02:32:55,2025-06-13,2.0
Completed successfully,2005.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,726.0,,ALBERT AVENDANO,2025-06-13 05:21:00,2025-06-13 05:54:25,2025-06-13,5.0
Completed successfully,2418.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,727.0,,ALBERT AVENDANO,2025-06-13 06:04:00,2025-06-13 06:44:18,2025-06-13,6.0
Completed successfully,1758.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,728.0,,ALBERT AVENDANO,2025-06-13 06:56:00,2025-06-13 07:25:18,2025-06-13,6.0
Completed successfully,3674.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,729.0,,antonia milegrito,2025-06-15 04:06:00,2025-06-15 05:07:14,2025-06-15,4.0
Completed successfully,2362.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,730.0,,Antonia Milegrito,2025-06-16 04:39:00,2025-06-16 05:18:22,2025-06-16,4.0
Completed successfully,2303.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,731.0,,0,2025-06-16 05:39:00,2025-06-16 06:17:23,2025-06-16,5.0
Completed successfully,3161.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,732.0,,Antonia Milegrito,2025-06-16 07:36:00,2025-06-16 08:28:41,2025-06-16,7.0
Completed successfully,2947.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,733.0,,MALOU TOLENTINO,2025-06-17 08:18:00,2025-06-17 09:07:07,2025-06-17,8.0
Completed successfully,2510.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,734.0,,EMILY NAQUIMA,2025-06-17 08:15:00,2025-06-17 08:56:50,2025-06-17,8.0
Completed successfully,3358.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,735.0,,Maricel Gumboc,2025-06-17 07:32:00,2025-06-17 08:27:58,2025-06-17,7.0
Completed successfully,1567.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,736.0,,0,2025-06-17 07:01:00,2025-06-17 07:27:07,2025-06-17,7.0
Completed successfully,2501.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,737.0,,Maricel Gumboc,2025-06-17 09:11:00,2025-06-17 09:52:41,2025-06-17,9.0
Completed successfully,2113.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,738.0,,MARIBEL ROSALES,2025-06-17 01:17:00,2025-06-17 01:52:13,2025-06-17,1.0
Completed successfully,2630.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,739.0,,MARIBEL ROSALES,2025-06-17 07:54:00,2025-06-17 08:37:50,2025-06-17,7.0
Completed successfully,1882.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,740.0,,ALBERT AVENDANO,2025-06-15 00:59:00,2025-06-15 01:30:22,2025-06-15,0.0
